Component,Comment,Designator,Footprint,LCSC Part #
1,100nF,C63,C_0402_1005Metric,C307331
2,10uF,C37,C_0402_1005Metric,C15525
3,22uF,"C119,C120",C_0603_1608Metric,C59461
4,LED GREEN,D25,LED_0805_2012Metric,C2297
5,Conn_01x05,J29,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
6,1k,R44,R_0805_2012Metric,C17513
7,2.2k,R59,R_0805_2012Metric,C17520
8,2.54mm 1x10 socket,U45,Dummy,C7509514
9,2.54mm 1x6 socket,U42,Dummy,C7509518
10,2.54mm 1x8 socket,"U43,U44",Dummy,C7509515
11,AMS1117-3.3,U12,SOT-223-3_TabPin2,C6186
