Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C37","10uF","C_0402_1005Metric",166.0000,-170.1000,180.0000,top
"C63","100nF","C_0402_1005Metric",162.0000,-170.1000,0.0000,top
"C119","22uF","C_0603_1608Metric",163.9000,-181.1000,0.0000,top
"C120","22uF","C_0603_1608Metric",168.4000,-181.1000,180.0000,top
"D25","LED GREEN","LED_0805_2012Metric",162.3000,-164.9000,0.0000,top
"J29","Conn_01x05","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",162.1000,-149.5000,270.0000,top
"R44","1k","R_0805_2012Metric",162.2600,-167.8950,0.0000,top
"R59","2.2k","R_0805_2012Metric",174.6000,-182.0000,90.0000,top
"U12","AMS1117-3.3","SOT-223-3_TabPin2",166.1000,-175.4000,90.0000,top
"U42","2.54mm 1x6 socket","Dummy",198.0000,-139.0000,180.0000,top
"U43","2.54mm 1x8 socket","Dummy",218.0000,-139.0000,180.0000,top
"U44","2.54mm 1x8 socket","Dummy",200.0000,-187.0000,180.0000,top
"U45","2.54mm 1x10 socket","Dummy",225.0000,-187.0000,180.0000,top
"U46","2.54mm 2x6 socket","Dummy",1.0500,-1.0500,0.0000,top
